,referenceTime,mean(air_temperature P1D),mean(cloud_area_fraction P1D),sum(duration_of_sunshine P1D)
839,2022-06-09,14.7,7.7,0.6
840,2022-06-13,14.3,5.0,9.7
841,2022-06-17,16.25,6.0,7.3
842,2022-06-21,17.0,7.0,5.6
843,2022-06-25,22.05,5.7,10.9
844,2022-06-29,17.6,3.3,14.7
845,2022-07-03,16.8,6.7,3.2
846,2022-07-07,16.25,3.0,12.1
847,2022-07-11,17.5,4.7,8.8
848,2022-07-15,15.3,4.3,11.6
849,2022-07-19,18.4,4.0,11.2
850,2022-07-23,15.9,5.3,11.9
851,2022-07-27,17.85,3.0,11.8
852,2022-07-31,17.85,7.3,0.3
853,2022-08-04,16.9,7.3,4.3
854,2022-08-08,16.5,3.3,12.4
855,2022-08-12,20.0,2.3,12.5
856,2022-08-16,20.65,7.7,0.5
857,2022-08-20,17.9,4.3,11.6
858,2022-08-24,16.2,6.7,5.6
859,2022-08-28,17.25,5.0,3.6
860,2022-09-01,14.2,1.0,13.2
861,2022-09-05,13.3,2.7,12.3
862,2022-09-09,13.0,6.7,3.2
863,2022-09-13,13.55,7.0,1.8
864,2022-09-17,12.5,5.3,6.5
865,2022-09-21,8.649999999999999,3.7,8.1
866,2022-09-25,9.95,4.7,6.5
867,2022-09-29,9.95,6.0,0.7
868,2022-10-03,9.0,2.0,10.0
869,2022-10-07,11.45,8.0,0.0
870,2022-10-11,7.1,1.7,10.0
871,2022-10-15,9.8,5.3,5.3
872,2022-10-19,4.45,0.7,9.4
873,2022-10-23,3.75,8.0,0.0
874,2022-10-27,8.0,7.7,0.1
875,2022-10-31,8.2,5.7,1.9
876,2022-11-04,9.4,8.0,0.0
877,2022-11-08,5.35,7.7,0.0
878,2022-11-12,11.3,0.7,7.5
879,2022-11-16,3.25,7.0,0.0
880,2022-11-20,-1.35,7.7,0.0
881,2022-11-24,1.5,8.0,0.0
882,2022-11-28,4.050000000000001,8.0,0.0
883,2022-12-02,0.8,8.0,0.0
884,2022-12-06,-4.15,6.3,2.3
885,2022-12-10,-6.3,2.0,4.8
